Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1/29/1993,24.701668816643792,24.701668816643792,24.57877494193412,24.684112548828125,1003200,29,4,4,1,1993
2/1/1993,24.701643410375564,24.859649658203125,24.701643410375564,24.859649658203125,480500,1,0,5,2,1993
2/2/1993,24.84211320184838,24.929894520582828,24.78944441060771,24.912338256835938,201300,2,1,5,2,1993
2/3/1993,24.947450640477562,25.19323833151675,24.929894376831903,25.175682067871094,529400,3,2,5,2,1993
2/4/1993,25.26346104,25.333686089515687,24.98256084918976,25.281017303466797,531500,4,3,5,2,1993
2/5/1993,25.263456344604492,25.316125120861486,25.123006274585844,25.263456344604492,492100,5,4,5,2,1993
2/8/1993,25.263456344604492,25.35123763836615,25.22834382709983,25.263456344604492,596100,8,0,6,2,1993
2/9/1993,25.175679563892064,25.175679563892064,25.035229468696013,25.08789825439453,122100,9,1,6,2,1993
2/10/1993,25.087894302410817,25.140563079812658,25.017669265875025,25.12300682067871,379600,10,2,6,2,1993
2/11/1993,25.15812741333984,25.351246325793948,25.15812741333984,25.245908737182617,19500,11,3,6,2,1993
2/12/1993,25.210774957005928,25.210774957005928,25.05276870727539,25.05276870727539,42500,12,4,6,2,1993
2/16/1993,24.982557605274454,24.982557605274454,24.385644774227842,24.420757293701172,374800,16,1,7,2,1993
2/17/1993,24.420744956311562,24.455857458046015,24.315407451108204,24.403188705444336,210900,17,2,7,2,1993
2/18/1993,24.684105191323464,24.684105191323464,24.052079738345054,24.385648727416992,378100,18,3,7,2,1993
2/19/1993,24.38564361698145,24.473424911499023,24.35053109917442,24.473424911499023,34900,19,4,7,2,1993
2/22/1993,24.543654370256796,24.596323156459064,24.473429321987105,24.56121063232422,513600,22,0,8,2,1993
2/23/1993,24.631452022874473,24.649008296589994,24.420776738288236,24.543670654296875,373700,23,1,8,2,1993
2/24/1993,24.56119341230662,24.859649658203125,24.56119341230662,24.859649658203125,26300,24,2,8,2,1993
2/25/1993,24.84211320184838,24.929894520582828,24.78944441060771,24.912338256835938,44500,25,3,8,2,1993
2/26/1993,24.965008810152057,24.965008810152057,24.824558690263718,24.947452545166016,66200,26,4,8,2,1993
3/1/1993,25.03522265319178,25.03522265319178,24.842103824871227,24.877216339111328,66500,1,0,9,3,1993
3/2/1993,24.89478344181151,25.245908737182617,24.85967091,25.245908737182617,182400,2,1,9,3,1993
